City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,kili,5.6439,169.1211,29.09,64,33,2.12,MH,1727315684
154,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,42,20,2.0,RU,1727315685
155,bamboo flat,11.7,92.7167,28.05,89,40,1.54,IN,1727315686
156,qamdo,31.1667,97.2333,9.76,59,48,0.47,CN,1727315688
157,farasan,16.7022,42.1183,30.5,80,96,2.27,SA,1727315689
158,i-n-salah,27.1935,2.4607,31.14,27,35,5.1,DZ,1727315690
159,ambon,-3.6954,128.1814,31.08,66,20,2.57,ID,1727315691
160,vila franca do campo,37.7167,-25.4333,22.23,90,88,2.36,PT,1727315692
161,bucerias,20.75,-105.3333,30.99,79,100,1.54,MX,1727315693
162,bel ombre,-4.6167,55.4167,26.91,78,40,5.66,SC,1727315695
163,kashmar,35.2383,58.4656,20.25,49,0,1.68,IR,1727315696
164,constantia,44.1833,28.65,16.5,80,100,3.9,RO,1727315697
165,orchard homes,46.8633,-114.0484,23.8,40,50,1.79,US,1727315698
166,bejaia,36.7559,5.0843,19.6,77,0,3.09,DZ,1727315699
167,minas de matahambre,22.5887,-83.9447,25.48,92,100,10.44,CU,1727315700
168,meadow lake,34.8014,-106.5436,24.62,30,0,0.33,US,1727315701
169,tangalle,6.024,80.7911,27.48,81,93,4.64,LK,1727315702
170,san marcos,33.1434,-117.1661,19.52,85,100,3.09,US,1727315703
171,san pedro pochutla,15.7333,-96.4667,23.73,96,100,1.22,MX,1727315704
172,west island,-12.1568,96.8225,27.99,78,39,4.63,CC,1727315705
173,afaahiti,-17.75,-149.2833,24.92,84,42,5.47,PF,1727315706
174,colonia,50.9333,6.95,15.54,92,75,5.66,DE,1727315646
175,sitrah,26.1547,50.6206,33.37,61,0,7.2,BH,1727315708
176,messaad,34.1543,3.5031,22.74,52,30,3.86,DZ,1727315709
177,dul'durga,50.6761,113.5931,13.52,58,100,2.18,RU,1727315711
178,eureka,40.8021,-124.1637,15.34,88,71,0.45,US,1727315564
179,tsiombe,-25.3,45.4833,22.54,80,49,1.32,MG,1727315713
180,carnarvon,-24.8667,113.6333,22.49,63,0,4.28,AU,1727315714
181,ciudad general teran,25.2667,-99.6833,27.49,65,86,2.53,MX,1727315715
182,bikenibeu village,1.3673,173.1241,30.98,70,20,2.06,KI,1727315716
183,bathsheba,13.2167,-59.5167,27.34,89,40,7.72,BB,1727315717
